modzcta,borocd,overlap_sqft,zip_total_sqft,area_weight
10025,107,16431788.78896636,20946240.000006527,0.78447438723901
10025,109,4511280.8100304445,20946240.000006527,0.21537425380541037
10026,110,9004796.990765855,9285290.000015354,0.969791680254571
10026,109,169445.94092384944,9285290.000015354,0.01824885823959933
10026,107,110218.77531615386,9285290.000015354,0.011870256644215916
10027,109,14206741.406572988,24301007.150727004,0.5846153337783768
10027,110,10078835.197598442,24301007.150727004,0.4147496906232925
10028,108,8757675.290846702,8758395.999998594,0.9999177121984559
10029,111,22596395.004762184,22599170.00001719,0.9998772080897218
10030,110,7220643.827911035,7683043.999999193,0.939815498637232
10030,109,462400.17208816134,7683043.999999193,0.06018450136276845
10031,109,17291735.599844694,18069272.000009928,0.9569691352166924
10031,110,775359.8221130818,18069272.000009928,0.042910407354134456
10032,112,16668695.315149883,18196537.999986175,0.9160366282400831
10032,109,1526595.1947961836,18196537.999986175,0.0838948153103268
10033,112,16593838.746027477,16594560.000025464,0.9999565367205888
10034,112,30074645.582333058,30083153.99999042,0.9997171700262093
10035,111,39632364.87393606,39640071.999962926,0.999805572350452
10036,104,6910918.25562004,12599842.000018414,0.5484924537633044
10036,105,5688923.744398375,12599842.000018414,0.45150754623669576
10037,110,3861209.076245469,7176616.000000705,0.5380264286461878
10037,111,3314459.4890339817,7176616.000000705,0.461841554436472
10038,101,5121468.405555653,7700595.999999463,0.6650742884779322
10038,103,2578172.77875504,7700595.999999463,0.3348017190819022
10039,110,8124714.2687087,12098111.99999292,0.6715687760795614
10039,112,3971659.7478207657,12098111.99999292,0.3282875665081535
10040,112,10606789.999994444,10606789.99999444,1.0000000000000004
10044,108,6301277.514895199,6305195.999994839,0.9993785308022712
10065,108,10592334.832889711,10593022.000004396,0.9999351302098037
10069,107,2369805.91928479,2378492.0000051707,0.9963480723414827
10075,108,5417706.829560919,5417956.000001604,0.9999540102502337
10128,108,12150423.059825009,12725237.999995306,0.9548287473939183
10128,111,563874.4127816629,12725237.999995306,0.0443115022903203
10280,101,3019428.6611734712,3021937.999996777,0.9991696259740245
10282,101,1794975.9944409027,1795287.9999932852,0.9998262086348354
10301,501,88542978.79203089,98071575.99999423,0.9028403784602798
10301,502,9526108.44148357,98071575.99999423,0.09713424449795861
10302,501,32857179.917087656,32858590.00000564,0.9999570863229985
10303,501,80705630.8969299,85432170.00001223,0.944674949693053
10303,502,4719384.647868729,85432170.00001223,0.05524130603106597
10304,502,60588703.41072738,104372490.00002152,0.5805045315170203
10304,501,43759847.719765544,104372490.00002152,0.41926610852875623
10305,502,68368416.42132734,112152901.99996904,0.6096000656438316
10305,501,24607149.646734558,112152901.99996904,0.21940715940405495
10306,502,121038613.39090101,209048932.0000689,0.5789965642630555
10306,503,76509248.30539003,209048932.0000689,0.36598727184774527
10307,503,50450523.2746051,50466185.99998969,0.9996896392094186
10308,503,54815225.76079508,54822443.99998507,0.999868334232053
10309,503,186076259.6608819,186084476.51445967,0.9999558434226665
10310,501,49039928.927057214,49045901.99999733,0.9998782146377873
10312,503,204770835.29283097,215190174.15998608,0.9515807870511378
10312,502,10411649.319104819,215190174.15998608,0.048383479216686426
10314,502,316663512.7732052,400447993.9999735,0.7907731278914241
10314,501,56333045.70704593,400447993.9999735,0.14067506031020263
10314,503,27361862.38212594,400447993.9999735,0.06832812947522907
10451,201,13308739.687981779,28859373.99998852,0.4611582942854919
10451,204,13071673.54877734,28859373.99998852,0.45294376616701876
10451,203,2463951.706555736,28859373.99998852,0.08537786393276292
10452,204,26778288.43619649,27592631.999993198,0.9704869197038939
10452,205,813693.3292226656,27592631.999993198,0.029489514781441156
